pattern_id,pattern_type,source_account_id,destination_account_id,source_customer_id,destination_customer_id,transfer_count,total_amount,max_amount,pattern_risk_score,pattern_explanation,recommended_action
GRAPH-PATTERN-000001,HIGH_INBOUND_COLLECTION_HUB,,ACC001009,,CUST000045,8,905.0,378.3,65.6,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000002,HIGH_INBOUND_COLLECTION_HUB,,ACC000344,,CUST000746,8,676.69,292.79,65.45,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000003,HIGH_INBOUND_COLLECTION_HUB,,ACC000325,,CUST000242,7,3221.57,2698.15,65.15,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000004,HIGH_INBOUND_COLLECTION_HUB,,ACC001277,,CUST000198,6,7420.82,6878.9,63.95,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000005,HIGH_INBOUND_COLLECTION_HUB,,ACC000939,,CUST000876,7,1411.42,969.67,63.94,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000006,HIGH_INBOUND_COLLECTION_HUB,,ACC000974,,CUST000814,7,733.58,272.26,63.49,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000007,HIGH_INBOUND_COLLECTION_HUB,,ACC000529,,CUST000990,7,716.03,569.29,63.48,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000008,HIGH_INBOUND_COLLECTION_HUB,,ACC000241,,CUST000290,7,413.1,154.73,63.28,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000009,HIGH_INBOUND_COLLECTION_HUB,,ACC001119,,CUST000717,6,4044.56,3875.12,61.7,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000010,HIGH_INBOUND_COLLECTION_HUB,,ACC000077,,CUST000278,6,2119.36,1777.05,60.41,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000011,HIGH_INBOUND_COLLECTION_HUB,,ACC001287,,CUST000376,6,2024.27,1330.2,60.35,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000012,HIGH_INBOUND_COLLECTION_HUB,,ACC000906,,CUST000318,6,1669.64,992.93,60.11,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000013,HIGH_INBOUND_COLLECTION_HUB,,ACC000715,,CUST000183,5,7315.18,7193.12,59.88,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000014,HIGH_INBOUND_COLLECTION_HUB,,ACC000935,,CUST000461,6,1010.25,641.35,59.67,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000015,HIGH_INBOUND_COLLECTION_HUB,,ACC000415,,CUST000250,6,965.49,355.69,59.64,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000016,HIGH_INBOUND_COLLECTION_HUB,,ACC000288,,CUST000663,6,603.58,287.67,59.4,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000017,HIGH_INBOUND_COLLECTION_HUB,,ACC000054,,CUST000190,6,599.18,245.05,59.4,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000018,HIGH_INBOUND_COLLECTION_HUB,,ACC000534,,CUST000353,6,400.28,204.74,59.27,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000019,HIGH_INBOUND_COLLECTION_HUB,,ACC000860,,CUST000286,6,337.26,111.5,59.22,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000020,HIGH_INBOUND_COLLECTION_HUB,,ACC000022,,CUST000041,6,319.86,139.06,59.21,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000021,HIGH_INBOUND_COLLECTION_HUB,,ACC000090,,CUST000666,5,5833.8,3951.0,58.89,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000022,HIGH_INBOUND_COLLECTION_HUB,,ACC000857,,CUST000192,5,4993.42,2951.52,58.33,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000023,HIGH_INBOUND_COLLECTION_HUB,,ACC001255,,CUST000585,5,2435.38,2245.17,56.62,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000024,HIGH_INBOUND_COLLECTION_HUB,,ACC000564,,CUST000818,5,2005.15,1821.33,56.34,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000025,HIGH_INBOUND_COLLECTION_HUB,,ACC000309,,CUST000395,4,7529.3,5804.84,56.02,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000026,HIGH_INBOUND_COLLECTION_HUB,,ACC000411,,CUST000458,4,7518.27,6845.1,56.01,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000027,HIGH_INBOUND_COLLECTION_HUB,,ACC000636,,CUST000530,5,1332.68,952.54,55.89,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000028,HIGH_INBOUND_COLLECTION_HUB,,ACC000509,,CUST000140,5,959.94,706.74,55.64,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000029,HIGH_INBOUND_COLLECTION_HUB,,ACC000450,,CUST000580,5,795.76,548.42,55.53,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000030,HIGH_INBOUND_COLLECTION_HUB,,ACC000588,,CUST000459,5,671.74,265.26,55.45,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000031,HIGH_INBOUND_COLLECTION_HUB,,ACC000927,,CUST000697,5,575.8,248.55,55.38,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000032,HIGH_INBOUND_COLLECTION_HUB,,ACC000078,,CUST000298,5,568.32,190.48,55.38,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000033,HIGH_INBOUND_COLLECTION_HUB,,ACC000989,,CUST000193,5,531.37,250.8,55.35,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000034,HIGH_INBOUND_COLLECTION_HUB,,ACC000988,,CUST000697,5,505.79,252.11,55.34,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000035,HIGH_INBOUND_COLLECTION_HUB,,ACC000859,,CUST000481,5,455.68,173.68,55.3,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000036,HIGH_INBOUND_COLLECTION_HUB,,ACC001005,,CUST000863,5,445.27,298.01,55.3,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000037,HIGH_INBOUND_COLLECTION_HUB,,ACC000531,,CUST000536,5,442.56,302.6,55.3,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000038,HIGH_INBOUND_COLLECTION_HUB,,ACC001184,,CUST000997,5,425.56,164.86,55.28,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
